id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
100,szerhusenBC_jwt-spring-security-demo,8,8,361,361,27,27,103,103,181,181,50,50,maven,true,open source,2143,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
101,ValentinaBuddha_java-filmorate,5,5,159,159,27,27,63,63,63,63,6,6,maven,true,open source,815,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
102,Victor-Borisov_java-filmorate,6,6,188,188,32,32,73,73,77,77,6,6,maven,true,open source,940,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
104,WoMakersCode_bootcamp-java-starwars-restapi,8,7,221,152,23,24,90,57,87,58,21,13,maven,true,open source,523,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,1,0,0,0
105,xxuzhengg_eastmoney,5,4,225,213,27,27,90,85,89,82,19,19,maven,true,open source,1068,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
106,yoandypv_todo-api,6,6,271,132,27,23,82,45,125,55,37,9,maven,true,open source,655,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,1,0,0,0
107,Youngerjesus_refactoring-2nd-edition,2,2,67,67,11,11,30,30,24,24,2,2,maven,true,open source,578,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
1,alkemyTech_OT275-server,12,12,368,281,38,34,130,115,164,115,36,17,maven,true,open source,2246,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
2,kanajin_Aqua-docker,11,7,292,237,35,33,112,88,121,93,24,23,maven,true,open source,2924,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,2,0,0
3,kyungseo_project-web-starter,39,34,813,608,96,80,304,229,336,249,77,50,maven,true,2914,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,,11,7,5,1,0,0
6,smartup-tech_Time-Tracker,12,12,293,185,46,46,116,66,108,55,23,18,maven,true,open source,1458,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,6,0,0,0,0
1,liuhongdi_ratelimiter,8,7,305,294,27,27,106,100,138,134,34,33,maven,true,open source,2466,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,2,0,0,0
1,NO-ob_LoliSnatcher,1,0,1,0,0,0,0,0,1,0,0,0,maven,true,open source,865,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,1,0,0,0
2,wdrammeh_utg-student-dashboard,2,2,99,42,8,4,58,24,29,13,4,1,maven,true,open source,524,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,1,0,0,0
