id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
118,Online-Job-Portal-CG_Backend,9,8,276,178,29,27,118,63,109,76,20,12,maven,true,open source,927,f8e7a3fedd9496d722921c9c37e458b416fae4c7,improvement,11,5,1,0,0,0
119,Online-Job-Portal-CG_Backend,9,8,276,178,29,27,118,63,109,76,20,12,maven,true,open source,831,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,1,0,0,0
120,ozifirebrand_printHia,8,5,188,58,21,8,64,21,86,26,17,3,maven,true,open source,2023,5db9ced25d63d2bde263bb359901179628ea3963,improvement,11,3,0,3,0,0
121,ozifirebrand_printHia,8,5,188,58,21,8,64,21,86,26,17,3,maven,true,open source,1944,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,3,0,3,0,0
122,paneladev_agenda-service,12,9,320,184,30,25,128,72,131,73,31,14,maven,true,open source,1497,faf956d56017b123162b3ac7ab9e79616ade6785,improvement,11,7,0,0,0,0
123,paneladev_agenda-service,12,9,320,184,30,25,128,72,131,73,31,14,maven,true,open source,1411,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,7,0,0,0,0
124,ProgrammerZamanNow_belajar-jenkins-pipeline,2,0,63,0,7,0,30,0,24,0,2,0,maven,true,open source,137,f80ad07324518d54358e5a5dc3872b553ecf224b,improvement,11,2,0,0,0,0
125,ProgrammerZamanNow_belajar-jenkins-pipeline,2,0,63,0,7,0,30,0,24,0,2,0,maven,true,open source,132,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,0,0,0,0
126,ProgrammerZamanNow_belajar-spring-dasar,2,0,63,0,7,0,30,0,24,0,2,0,maven,true,open source,136,a278b9e311682c77e604eafc3a1d33ebd7901511,improvement,11,2,0,0,0,0
127,ProgrammerZamanNow_belajar-spring-dasar,2,0,63,0,7,0,30,0,24,0,2,0,maven,true,open source,137,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,2,0,0,0,0
128,raffoulRicardo_movimento-qa-2023,5,0,149,0,18,0,51,0,71,0,9,0,maven,true,open source,166,70508b62689e7ddf2fe8534ab34fc20c1b520d8b,improvement,11,5,0,0,0,0
129,raffoulRicardo_movimento-qa-2023,5,0,149,0,18,0,51,0,71,0,9,0,maven,true,open source,179,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
130,rahul26021999_QrCode-JavaSpringBoot,4,4,175,46,18,10,68,10,70,17,19,9,maven,true,open source,350,4aa5b78aa1cebd0153613d0fb9035ad6110ffd17,improvement,11,4,0,0,0,0
131,rahul26021999_QrCode-JavaSpringBoot,4,4,175,46,18,10,68,10,70,17,19,9,maven,true,open source,335,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,4,0,0,0,0
132,RaisaRS_java-filmorate,6,2,142,96,20,14,55,36,62,41,5,5,maven,true,open source,567,de35d4b128b482a95a9271a8bb563c5b702205c1,improvement,11,2,2,0,0,0
