id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata
12,amigoscode_springboot-twilio,3,3,248,187,13,12,62,55,136,98,37,22,maven,true,open source,678,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,0,0,0,0
13,anicetkeric_aws-cognito-spring-auth-server,4,4,170,162,17,17,70,68,72,66,11,11,maven,true,open source,987,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
14,anicetkeric_aws-cognito-spring-auth-server,4,4,170,162,17,17,70,68,72,66,11,11,maven,true,open source,809,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,1,0,0
15,artmcoder_Buysell,5,5,208,208,21,21,85,85,84,84,18,18,maven,true,open source,1068,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
16,artmcoder_Buysell,5,5,208,208,21,21,85,85,84,84,18,18,maven,true,open source,999,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
17,ashrawan_apache-poi-chart-sample,4,2,72,52,7,7,31,22,32,22,2,1,maven,true,open source,855,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,3,0,0,0
18,ashrawan_apache-poi-chart-sample,4,2,72,52,7,7,31,22,32,22,2,1,maven,true,open source,737,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,3,0,0,0
19,awslabs_kinesis-kafka-connector,4,3,97,56,3,1,49,31,44,23,1,1,maven,true,open source,255,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,2,1,0,0
20,awslabs_kinesis-kafka-connector,4,3,97,56,3,1,49,31,44,23,1,1,maven,true,open source,257,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,1,2,1,0,0
21,aws-samples_amazon-appflow-custom-jdbc-connector,4,1,66,19,2,1,33,10,30,8,1,0,maven,true,open source,251,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
22,aws-samples_amazon-appflow-custom-jdbc-connector,4,1,66,19,2,1,33,10,30,8,1,0,maven,true,open source,306,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
23,aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,6,6,144,136,1,1,35,32,88,83,20,20,maven,true,open source,2179,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
24,aws-samples_amazon-kinesis-data-analytics-flink-starter-kit,6,6,144,136,1,1,35,32,88,83,20,20,maven,true,open source,1694,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,1,0,0,0
25,basquiat78_interface-bbuljit,2,2,108,108,14,14,41,41,47,47,6,6,maven,true,open source,667,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
26,basquiat78_interface-bbuljit,2,2,108,108,14,14,41,41,47,47,6,6,maven,true,open source,416,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
27,bulinha_residencia-serratec-music-manager-api,10,10,297,250,27,26,102,74,136,119,32,31,maven,true,open source,1543,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
28,bulinha_residencia-serratec-music-manager-api,10,10,297,250,27,26,102,74,136,119,32,31,maven,true,open source,1080,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,5,0,0,0,0
29,bykowski_invoice-spring-mvc-example,4,4,165,165,18,18,58,58,71,71,18,18,maven,true,open source,942,0cf6b8893b70d26378ead9d7c03472a10f975f9c,no improvement,11,0,0,0,0,0
30,code-it-team_gotcha-be,14,10,518,309,34,22,175,108,236,137,73,42,maven,true,open source,2032,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
31,cxzero_CVE-2022-42889-text4shell,3,2,107,105,14,14,42,41,44,44,7,6,maven,true,open source,562,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
32,cxzero_CVE-2022-42889-text4shell,3,2,107,105,14,14,42,41,44,44,7,6,maven,true,open source,506,0cf6b8893b70d26378ead9d7c03472a10f975f9c,improvement,11,0,0,0,0,0
