id,Project Name,Number of dependencies with vulnerabilities (Before),Number of dependencies with vulnerabilities (After),Number of vulnerabilities (Before),Number of vulnerabilities (After),Low vulnerabilities (Before),Low vulnerabilities (After),Medium vulnerabilities (Before),Medium vulnerabilities (After),High vulnerabilities (Before),High vulnerabilities (After),Critical vulnerabilities (Before),Critical vulnerabilities (After),Build Tool,Tests,Project Type,Execution Time (s),Artifacts,Improved,javaVersion,countMajor,countMinor,countPatch,countPrerelease,countBuildmetadata,Repo URL
344,syqu22_spring-boot-shop-sample,13,10,403,71,34,9,178,23,155,27,36,12,maven,False,open source,783,7ce26d711e9fcff80bad07b6bfa7ba6fd2aac532,improvement,11.0,9,1,1,1,0,https://github.com/syqu22/spring-boot-shop-sample
13,qoomon_maven-git-versioning-extension,5,1,6,2,0,0,3,1,3,1,0,0,maven,False,open source,125,c6e4cfa885a26ba551e55901d08cc76dd634b9f0,improvement,11.0,0,0,4,0,0,https://github.com/qoomon/maven-git-versioning-extension
23,Hack23_sonar-cloudformation-plugin,3,1,4,2,0,0,1,0,3,2,0,0,maven,False,open source,352,a13d02acd5d180aeb8ac86f20aa911598219230b,improvement,11.0,0,2,0,0,0,https://github.com/Hack23/sonar-cloudformation-plugin
67,lukehutch_pikaparser,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,58,7e8772f306b9e8fed93b14f61441fe1261ed8818,no improvement,11.0,0,0,0,0,0,https://github.com/lukehutch/pikaparser
87,bonigarcia_webdrivermanager-examples,4,1,15,8,4,2,8,4,3,2,0,0,maven,False,open source,139,b91facafd0841453ac49df1d07e531faf149030b,improvement,11.0,0,2,2,0,0,https://github.com/bonigarcia/webdrivermanager-examples
95,sonar-auth-oidc_sonar-auth-oidc,2,0,3,0,0,0,2,0,1,0,0,0,maven,False,open source,72,614a361fce13f5fa262955ee9652642260827ae8,improvement,11.0,0,2,0,0,0,https://github.com/sonar-auth-oidc/sonar-auth-oidc
200,dhaneeshtb_scaleguard,8,1,77,51,3,0,19,3,36,29,19,19,maven,False,open source,202,795378b508c2a9de96dcdc21b860fd3014e38a62,improvement,11.0,0,3,3,0,0,https://github.com/dhaneeshtb/scaleguard
278,fatihhernn_spring-boot-ecommerce,4,2,148,7,14,3,66,2,60,2,8,0,maven,False,open source,97,6fad5f5ed343f7611e356f1be7a51dfcacc12ba5,improvement,11.0,3,0,1,0,0,https://github.com/fatihhernn/spring-boot-ecommerce
263,cami-la_spring-security-full-course-amigoscode,6,4,205,145,18,13,78,61,95,58,14,13,maven,False,open source,751,eead076c5b47eeb1fefc7cfc4a33feb7d5543a52,improvement,11.0,1,1,0,0,0,https://github.com/cami-la/spring-security-full-course-amigoscode
12,zowe_zowe-client-java-sdk,3,3,11,10,0,0,4,3,6,6,1,1,maven,False,open source,166,64592bf305b34d18d3bd7778ca2f4cf5c07b5825,improvement,11.0,0,1,0,0,0,https://github.com/zowe/zowe-client-java-sdk
15,nikoo28_java-solutions,0,0,0,0,0,0,0,0,0,0,0,0,maven,False,open source,72,a7f282d36a96a486af2259f5fd15deb96b00667a,no improvement,11.0,0,0,1,0,0,https://github.com/nikoo28/java-solutions
90,liuhongdi_apiversion,2,1,105,5,10,3,45,2,44,0,6,0,maven,False,open source,103,fe9756269e6df5c44d87d1d099cef7fdbb373ba3,improvement,11.0,2,0,0,0,0,https://github.com/liuhongdi/apiversion
117,reactive-learning-io_spring-boot-reactive-webclient,4,1,106,59,9,4,47,26,44,25,6,4,maven,False,open source,1507,3bb256676973b81a13371ab10def2d915e4d99c0,improvement,11.0,2,0,0,0,0,https://github.com/reactive-learning-io/spring-boot-reactive-webclient
127,stratospheric-dev_cdk-constructs,1,0,1,0,0,0,0,0,1,0,0,0,maven,False,open source,333,9e0c41ac966f16e5317f0c4b20ad6868c53fea45,improvement,11.0,0,0,1,0,0,https://github.com/stratospheric-dev/cdk-constructs
68,e92Edvin_payment-gateway,4,1,149,5,15,3,64,2,61,0,9,0,maven,False,open source,136,62728b274bb06d7b214fd50cd25b089ecc05d982,improvement,11.0,4,0,0,0,0,https://github.com/e92Edvin/payment-gateway
