project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
syqu22_spring-boot-shop-sample,native+kex+evosuite,0.0,0.0,212,212,351,351,137,137,success,maven_returncode=0,935,0.935
SysObligatoriskOpgave22_BackendWebApp,native+kex+evosuite,99.446,62.0,19,113,0,135,0,88,success,maven_returncode=0,387,0.387
szerhusenBC_jwt-spring-security-demo,native+kex+evosuite,0.0,0.0,105,105,254,254,87,87,success,maven_returncode=0,685,0.685
ValentinaBuddha_java-filmorate,native+kex+evosuite,22.149,12.5,66,126,171,248,51,110,success,maven_returncode=0,849,0.849
Victor-Borisov_java-filmorate,native+kex+evosuite,66.977,27.869,153,389,103,332,55,267,success,maven_returncode=0,1008,1.008
wdrammeh_utg-student-dashboard,native+kex+evosuite,24.932,12.179,1866,2621,6721,8969,797,1482,success,maven_returncode=0,13380,13.38
WoMakersCode_bootcamp-java-starwars-restapi,native+kex+evosuite,40.0,0.0,12,37,50,101,9,34,success,maven_returncode=0,225,0.225
xxuzhengg_eastmoney,native+kex+evosuite,31.172,0.0,28,83,149,244,12,67,success,maven_returncode=0,545,0.545
yoandypv_todo-api,native+kex+evosuite,48.615,21.053,67,118,31,74,20,61,success,maven_returncode=0,225,0.225
Youngerjesus_refactoring-2nd-edition,native+kex+evosuite,89.853,73.333,66,692,80,1161,10,543,success,maven_returncode=0,2628,2.628
