project,mode,instruction_coverage,branch_coverage,complexity_missed,complexity_total,lines_missed,lines_total,methods_missed,methods_total,status,details,loc,kloc
gavinklfong_spring-investment-platform,kex+evosuite,67.677,26.512,178,451,20,148,12,236,success,maven_returncode=0,342,0.342
GCS-ZHN_movie-on-server,kex+evosuite,0.0,0.0,292,292,678,678,149,149,success,maven_returncode=0,1345,1.345
GSMgeeth_medium-coffeeshop-sample,kex+evosuite,53.633,20.0,34,87,77,208,21,72,success,maven_returncode=0,518,0.518
GuillaumeFalourd_java-training-api,kex+evosuite,61.654,37.5,10,28,15,44,4,20,success,maven_returncode=0,132,0.132
hamitmizrak_AllSpringBlogProject,kex+evosuite,42.477,21.429,111,215,106,194,49,138,success,maven_returncode=0,586,0.586
hamitmizrak_SpringMvcSpringDataSpringRest,kex+evosuite,34.139,14.885,226,437,458,612,107,306,success,maven_returncode=0,1425,1.425
hannotify_eleven-crazy-java-things,kex+evosuite,95.641,100.0,3,53,6,95,3,49,success,maven_returncode=0,249,0.249
hhimanshu_spring-boot-liquibase,kex+evosuite,84.444,0,2,17,2,31,2,17,success,maven_returncode=0,135,0.135
innoq_cookie-based-session-springboot-app,kex+evosuite,74.069,55.882,20,76,54,194,11,59,success,maven_returncode=0,431,0.431
itsecurityco_CVE-2022-22965,kex+evosuite,70.968,0,2,10,7,25,2,10,success,maven_returncode=0,54,0.054
ivanjakimovski_spring-boot-pdf-generator,kex+evosuite,91.837,0,0,6,4,30,0,6,success,maven_returncode=0,60,0.06
iwamih31_AccountBook,kex+evosuite,72.119,50.67,177,554,556,1615,53,312,success,maven_returncode=0,2688,2.688
janlely_jparser,kex+evosuite,81.138,70.661,220,854,174,1096,136,609,success,maven_returncode=0,1901,1.901
jeonjeunghoon_Kculter,kex+evosuite,38.402,8.485,143,441,650,1369,65,358,success,maven_returncode=0,2771,2.771
jonashackt_spring-boot-buildpack,kex+evosuite,90.476,0,1,8,1,13,1,8,success,maven_returncode=0,41,0.041
jsalonl_interceptor-springboot,kex+evosuite,87.976,75.0,13,102,27,112,11,98,success,maven_returncode=0,314,0.314
juliengalet_reactor-flow,kex+evosuite,99.504,96.875,12,386,7,800,7,305,build_with_test_issues,maven_returncode=1,1956,1.956
kanajin_Aqua-docker,kex+evosuite,,,,,,,,,no_jacoco_csv,"maven_returncode=127 | V (0xb) at pc=0x0000762373ec5b00, pid=1, tid=60 # # JRE version: OpenJDK Runtime Environment 18.9 (11.0.16+8) (build 11.0.16+8) # Java VM: OpenJDK 64-Bit Server VM 18.9 (11.0.16+8, mixed mode, sharing, tiered, compressed oops, g1 gc, linux-amd64) # Problematic frame: # V  [libjvm.so+0x606b00]  oopDesc::size_given_klass(Klass*)+0x0 # # Core dump will be written. Default location: Core dumps may be processed with ""/usr/share/apport/apport -p%p -s%s -c%c -d%d -P%P -u%u -g%g -- %E"" (or dumping to /app/core.1) # # An error report file with more information is saved as: # /app/hs_err_pid1.log # # If you would like to submit a bug report, please visit: #   https://bugreport.java.com/bugreport/crash.jsp #  [error occurred during error reporting (), id 0xb, SIGSEGV (0xb) at pc=0x0000762374ca0602]  ",27852,27.852
Katibat_java-filmorate,kex+evosuite,45.9,32.937,152,330,225,425,58,204,success,maven_returncode=0,1082,1.082
kiberohrannik_webflux-log,kex+evosuite,33.107,39.189,107,192,241,397,83,155,success,maven_returncode=0,1027,1.027
kousen_questjpa,kex+evosuite,96.05,98.333,8,145,9,216,7,115,success,maven_returncode=0,615,0.615
koushikkothagal_ipl-dashboard,kex+evosuite,41.233,0.0,27,108,91,214,22,103,success,maven_returncode=0,527,0.527
